DATE,PROCESS,USER,PROTOCOL,SRC_IP,SRC_PORT,SRC_PORT_NAME,DEST_IP,DEST_PORT,DEST_PORT_NAME
2016-06-05 12:00:32.059,C:\Windows\System32\svchost.exe,AUTORITE NT\Syst�me,tcp,local,51061,,131.253.61.84,443,https
2016-06-05 12:16:34.425,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51087,,msnbot-65-55-252-43.search.msn.com,443,https
2016-06-05 15:30:45.998,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51285,,65.55.138.111,443,https
2016-06-05 15:30:46.839,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,65.55.138.111,137,netbios-ns
2016-06-05 15:30:47.380,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51291,,134.170.58.118,443,https
2016-06-05 15:30:47.837,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,134.170.58.118,137,netbios-ns
2016-06-05 15:30:49.946,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51294,,8.253.82.110,80,http
2016-06-05 15:30:50.851,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,8.253.82.110,137,netbios-ns
2016-06-05 15:32:22.005,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51325,,13.107.4.50,80,http
2016-06-05 15:32:22.360,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,13.107.4.50,137,netbios-ns
2016-06-05 16:17:05.505,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51383,,131.253.61.98,80,http
2016-06-05 16:17:05.750,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51386,,131.253.61.98,443,https
2016-06-05 16:17:05.948,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51389,,a23-54-139-27.deploy.static.akamaitechnologies.com,80,http
2016-06-05 16:17:06.377,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.98,137,netbios-ns
2016-06-05 16:17:06.813,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51393,,msnbot-191-232-139-7.search.msn.com,443,https
2016-06-05 16:32:47.918,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51410,,a23-214-35-31.deploy.static.akamaitechnologies.com,443,https
2016-06-05 19:16:31.967,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51568,,a23-214-64-233.deploy.static.akamaitechnologies.com,80,http
2016-06-05 21:01:31.911,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51669,,104.244.43.39,443,https
2016-06-06 00:16:59.265,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51879,,131.253.61.82,443,https
2016-06-06 00:17:00.147,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.82,137,netbios-ns
2016-06-06 00:32:00.219,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51890,,131.253.61.100,443,https
2016-06-06 00:32:01.107,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.100,137,netbios-ns
2016-06-06 01:01:32.063,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51919,,a23-216-241-218.deploy.static.akamaitechnologies.com,80,http
2016-06-06 01:01:32.275,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51922,,a23-216-241-218.deploy.static.akamaitechnologies.com,443,https
2016-06-06 01:15:16.233,C:\Program Files (x86)\Proxifier\Proxifier.exe,,tcp,local,51935,,134.170.165.253,443,https
2016-06-06 01:15:16.338,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,134.170.165.253,137,netbios-ns
