HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
23.103.189.158,28,AS8075 Microsoft Corporation,US,2017-10-02,fe2.update.microsoft.com.nsatc.net
,,,,2017-09-17,fe2.update.microsoft.com
,,,,2017-07-24,fe2.update.microsoft.com.akadns.net
40.68.222.212,1,AS8075 Microsoft Corporation,NL,2017-10-08,x.urs.microsoft.com
,,,,2017-09-06,c.urs.microsoft.com
,,,,2016-07-25,urs.microsoft.com
40.70.220.248,1,AS8075 Microsoft Corporation,US,2018-01-29,t.urs.microsoft.com.nsatc.net
,,,,2017-12-18,t.urs.microsoft.com
40.77.226.249,722,AS8075 Microsoft Corporation,IE,2018-02-26,db5.settings.data.microsoft.com.akadns.net
,,,,2017-09-09,asimov-win.settings.data.microsoft.com.akadns.net
,,,,2017-09-07,geo.settings.data.microsoft.com.akadns.net
,,,,2017-09-06,settings.data.microsoft.com
,,,,2017-09-06,settings-win.data.microsoft.com
40.77.226.250,68,AS8075 Microsoft Corporation,IE,2018-02-26,db5.vortex.data.microsoft.com.akadns.net
,,,,2017-11-05,asimov-win.vortex.data.microsoft.com.akadns.net
,,,,2017-10-31,web.vortex.data.microsoft.com.akadns.net
,,,,2017-10-13,asimov.vortex.data.microsoft.com.akadns.net
,,,,2017-10-08,v10-win.vortex.data.microsoft.com.akadns.net
,,,,2017-09-27,v20-asimov-win.vortex.data.microsoft.com.akadns.net
,,,,2017-09-26,geo.vortex.data.microsoft.com.akadns.net
,,,,2017-09-06,vortex-win.data.microsoft.com
,,,,2017-09-06,v20.vortex-win.data.microsoft.com
,,,,2017-09-06,vortex.data.microsoft.com
,,,,2017-09-06,web.vortex.data.microsoft.com
,,,,2017-09-06,v10.vortex-win.data.microsoft.com
40.127.142.76,2,AS8075 Microsoft Corporation,IE,2017-10-04,iceotf-prod-fe-tm.trafficmanager.net
,,,,2017-09-06,otf.msn.com
,,,,2017-05-19,iceotf-prod-fe-northeurope.cloudapp.net
51.141.32.51,5,AS8075 Microsoft Corporation,GB,2017-09-06,time.windows.com
,,,,2017-09-06,time.microsoft.akadns.net
51.143.22.239,1,AS8075 Microsoft Corporation,US,,
52.138.148.87,1,AS8075 Microsoft Corporation,IE,2017-11-12,wdcp.microsoft.com
,,,,2017-11-09,spynet2.microsoft.com
52.138.148.89,3,AS8075 Microsoft Corporation,IE,,
52.164.240.59,1,AS8075 Microsoft Corporation,IE,,
52.166.110.64,1,AS8075 Microsoft Corporation,NL,2017-12-04,spynet2.microsoft.com
,,,,2017-11-30,wdcp.microsoft.com
52.166.120.77,1,AS8075 Microsoft Corporation,NL,2017-09-28,time.windows.com
,,,,2017-09-28,time.microsoft.akadns.net
52.178.147.240,2,AS8075 Microsoft Corporation,IE,,
52.178.178.16,113,AS8075 Microsoft Corporation,IE,2017-10-18,asimov-win.settings.data.microsoft.com.akadns.net
,,,,2017-09-21,db5.settings.data.microsoft.com.akadns.net
,,,,2017-09-06,settings.data.microsoft.com
,,,,2017-09-06,settings-win.data.microsoft.com
64.4.54.253,33,AS8075 Microsoft Corporation,US,2018-03-02,asimov-win.settings.data.microsoft.com.akadns.net
,,,,2018-02-28,geo.settings.data.microsoft.com.akadns.net
,,,,2018-02-26,cy2.settings.data.microsoft.com.akadns.net
,,,,2018-02-25,asimov.settings.data.microsoft.com.akadns.net
,,,,2018-02-23,settings-win.data.microsoft.com
,,,,2018-02-22,settings.data.microsoft.com
,,,,2018-02-13,64.4.54.253
,,,,2017-12-31,hk2.settings.data.microsoft.com.akadns.net
,,,,2016-04-01,onesettings-cy2.metron.live.com.nsatc.net
,,,,2015-06-21,settings.data.glbdns2.microsoft.com
64.74.232.52,2,AS19024 Internap Network Services Corporation,US,2018-03-02,editorial-stg.outbrain.com
,,,,2018-03-02,log.outbrain.org
,,,,2018-02-28,amplifypixel.outbrain.com
,,,,2018-02-27,outbrain.com
,,,,2018-02-18,alldcs.outbrain.com
,,,,2018-02-18,widgetmonitor.outbrain.com
,,,,2018-02-18,vrp.outbrain.com
,,,,2018-02-18,imp.outbrain.com
,,,,2018-02-18,help.outbrain.com
,,,,2018-02-18,beta-editorial.outbrain.com
,,,,2018-02-18,www-akamai.outbrain.com
,,,,2018-02-18,eventlog.outbrain.com
,,,,2018-02-18,blog.outbrain.com
,,,,2018-02-18,log.outbrain.com
,,,,2018-02-18,reveetracking.outbrain.com
,,,,2018-02-18,omakase.outbrain.com
,,,,2018-02-18,revee.outbrain.com
,,,,2018-02-15,bff.outbrain.com
,,,,2018-02-08,sphere.com
,,,,2018-02-06,vrt.outbrain.com
,,,,2018-02-01,sphere.outbrain.com
,,,,2018-01-28,chi-only.outbrain.com
,,,,2018-01-18,sphere-fgt.outbrain.org
,,,,2018-01-12,alldcs.outbrain.org
,,,,2017-12-05,static2.outbrain.com
,,,,2017-11-29,videoevents.outbrain.com
,,,,2017-11-27,chi-only.outbrain.org
,,,,2017-11-20,www.outbrain.hk
,,,,2017-11-13,mcdp-chidc2.outbrain.com
,,,,2017-10-28,nychi2.outbrain.org
,,,,2017-10-14,clientmetrics.outbrain.com
,,,,2017-09-07,my.outbrain.com
,,,,2017-05-19,chidc2.outbrain.org
65.55.163.221,18,AS8075 Microsoft Corporation,US,2017-12-28,fe2.update.microsoft.com.nsatc.net
,,,,2017-11-08,fe2.update.microsoft.com
,,,,2017-01-25,65.55.163.221
,,,,2015-03-16,fe1.update.microsoft.com.akadns.net
,,,,2014-09-15,fe2.update.microsoft.com.akadns.net
,,,,2014-01-27,www.windowsupdate.com
,,,,2013-12-08,update.microsoft.com.nsatc.net
,,,,2013-10-19,www.update.microsoft.com
,,,,2013-10-18,windowsupdate.microsoft.com
,,,,2013-10-18,update.microsoft.com
65.55.163.222,22,AS8075 Microsoft Corporation,US,2018-01-01,fe2.update.microsoft.com
,,,,2017-12-19,fe2.update.microsoft.com.nsatc.net
,,,,2017-07-28,65.55.163.222
,,,,2015-03-16,fe1.update.microsoft.com.akadns.net
,,,,2014-09-15,fe2.update.microsoft.com.akadns.net
,,,,2013-12-30,update.microsoft.com.nsatc.net
,,,,2013-10-19,www.update.microsoft.com
,,,,2013-10-18,update.microsoft.com
,,,,2013-10-16,windowsupdate.microsoft.com
65.55.252.71,1,AS8075 Microsoft Corporation,US,2018-02-05,watson.microsoft.com
,,,,2018-01-29,legacy.watson.data.microsoft.com.akadns.net
,,,,2016-09-08,watson.microsoft.com.nsatc.net
65.55.252.93,2,AS8075 Microsoft Corporation,US,2018-03-02,sqmfe.glbdns2.microsoft.com
,,,,2018-02-08,sqm.telemetry.microsoft.com.nsatc.net
,,,,2018-01-16,65.55.252.93
,,,,2018-01-16,sqm.telemetry.microsoft.com
,,,,2015-08-11,sqm.msn.com
,,,,2015-08-07,www.sqm.microsoft.com
,,,,2015-08-07,sqm.microsoft.com
65.55.252.190,56,AS8075 Microsoft Corporation,US,2018-02-22,co4.telecommand.telemetry.microsoft.com.akadns.net
,,,,2017-07-26,telecommand.telemetry.microsoft.com
,,,,2016-09-16,telecommand.telemetry.microsoft.com.nsatc.net
66.119.144.157,35,AS8075 Microsoft Corporation,US,2017-11-15,fe2.update.microsoft.com
,,,,2017-09-22,fe2.update.microsoft.com.nsatc.net
,,,,2017-09-21,fe2.update.microsoft.com.akadns.net
67.26.25.254,3,AS3356 Level 3 Parent. LLC,US,2017-12-16,lvlt.cdn.ea.com
,,,,2017-12-15,balkans.aljazeera.net
,,,,2017-11-20,ccma-tva-int-abertis-live.hls.adaptive.level3.net
,,,,2017-11-14,www.aljazeera.net
,,,,2017-11-14,7.au.b1.download.windowsupdate.com
,,,,2017-11-07,dl.delivery.mp.microsoft.com
,,,,2017-10-30,hlsevent-l3c.med2.foxsportsgo.com
,,,,2017-10-27,fdmedia.shahid.net
,,,,2017-10-21,tlu.dl.delivery.mp.microsoft.com
,,,,2017-10-18,wsus.ds.download.windowsupdate.com
,,,,2017-10-14,hlsvod-l3c.med3.hbonow.com
,,,,2017-10-14,level3.blizzard.com
