DATE,EXE,PID,ACCOUNT,HOST,ORGANIZATION,COUNTRY
2017-11-14 20:55:52,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.81.5.53,443,https,AS8075 Microsoft Corporation,NL
2017-11-14 20:55:53,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.164.251.44,443,https,AS8075 Microsoft Corporation,IE
2017-11-14 20:59:06,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.252.93,443,https,AS8075 Microsoft Corporation,US
2017-11-14 21:22:45,C:\Windows\Sysmon.exe,tcp,a23-42-27-27.deploy.static.akamaitechnologies.com,80,http,,
2017-11-14 21:22:45,C:\Windows\Sysmon.exe,tcp,a23-42-21-163.deploy.static.akamaitechnologies.com,80,http,,
2017-11-14 21:45:19,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.164.251.44,443,https,AS8075 Microsoft Corporation,IE
2017-11-16 15:42:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.225.197.197,80,http,AS30081 CacheNetworks. Inc.,US
2017-11-17 02:26:08,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.248.237.254,80,http,AS3356 Level 3 Communications. Inc.,US
2017-11-17 03:32:20,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.138.148.89,80,http,AS8075 Microsoft Corporation,IE
2017-11-19 00:00:06,C:\Windows\System32\svchost.exe,udp,52.166.120.77,123,ntp,AS8075 Microsoft Corporation,NL
2017-11-20 07:21:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-2-233-99.deploy.static.akamaitechnologies.com,80,http,,
2017-11-21 02:26:12,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,8.248.243.254,80,http,AS3356 Level 3 Communications. Inc.,US
2017-11-21 07:17:54,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,111.221.29.253,443,https,AS8075 Microsoft Corporation,HK
