DATE,EXE,PID,ACCOUNT,HOST,ORGANIZATION,COUNTRY
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,svchost.exe,900,System,wpad,,
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,wscont.apps.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,wscont.apps.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,wscont.apps.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:15,GWXConfigManager.exe,3896,System,wscont.apps.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:16,GWXConfigManager.exe,3896,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:16,GWXConfigManager.exe,3896,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:16,GWXConfigManager.exe,3896,System,wscont.apps.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:16,GWXConfigManager.exe,312,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:16,GWXConfigManager.exe,312,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:16,GWXConfigManager.exe,312,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:16,GWXConfigManager.exe,312,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,GWXConfigManager.exe,312,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,svchost.exe,824,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,svchost.exe,824,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,svchost.exe,824,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:17,svchost.exe,824,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:19,GWXConfigManager.exe,312,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:19,GWXConfigManager.exe,312,System,go.microsoft.com,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:19,GWXConfigManager.exe,312,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:10:20,GWXDetector.exe,1592,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:20,GWXDetector.exe,1592,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:20,GWXDetector.exe,1592,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:20,GWXDetector.exe,1592,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:20,GWXDetector.exe,1592,System,g.bing.com,Microsoft Corporation (MSFT),US
2016.07.27 23:10:30,svchost.exe,900,System,wpad,,
2016.07.27 23:11:30,svchost.exe,900,System,wpad,,
2016.07.27 23:11:42,svchost.exe,824,System,wscont.apps.microsoft.com.edgesuite.net,Akamai Technologies. Inc. (AKAMAI),US
2016.07.27 23:21:30,svchost.exe,900,System,wpad,,
2016.07.27 23:31:30,svchost.exe,900,System,wpad,,
2016.07.27 23:34:11,svchost.exe,824,System,isatap,,
2016.07.27 23:34:23,svchost.exe,824,System,login.live.com,Microsoft Corp (MSFT-Z),US
2016.07.27 23:34:23,svchost.exe,824,System,login.live.com,Microsoft Corp (MSFT-Z),US
